error_type,timestamp,segment_id,pressure,flow_rate,temperature,pump_speed,energy_consumption,valve_status,pump_state,compressor_state,actual_target,predicted_target,predicted_failure_probability,event_type,alarm_triggered
false_negative,2024-01-01 00:10:00,46,65.48,3.58,32.72,1478.6,32.39,1,1,1,1,0,0.22906872678149265,leak,1
false_negative,2024-01-01 00:10:00,5,70.14,4.84,30.15,1296.4,33.66,1,1,0,1,0,0.3763021706177428,degradation,0
false_negative,2024-01-01 00:04:00,9,64.07,3.8,34.28,0.0,10.53,1,0,0,1,0,0.37916820789918615,leak,1
false_negative,2024-01-01 00:13:00,43,56.77,3.8,30.47,0.0,7.02,1,0,0,1,0,0.49691340141340135,leak,1
false_positive,2024-01-01 00:12:00,9,88.81,4.12,34.85,1508.1,35.33,2,1,1,0,1,0.5176311788569854,normal,0
false_positive,2024-01-01 00:11:00,26,77.37,4.45,30.77,1232.3,26.04,1,1,0,0,1,0.5193896076690195,normal,0
false_positive,2024-01-01 00:00:00,41,78.36,4.52,35.48,1162.8,29.09,1,1,1,0,1,0.531643819143819,normal,0
false_positive,2024-01-01 00:00:00,46,67.2,4.34,31.27,0.0,23.97,2,0,1,0,1,0.5603908591408593,normal,0
false_positive,2024-01-01 00:13:00,5,83.33,3.51,32.93,0.0,14.58,1,0,0,0,1,0.5757801213941879,normal,0
false_positive,2024-01-01 00:03:00,43,87.46,5.25,36.04,1381.4,33.46,1,1,1,0,1,0.6298022493176899,normal,0
false_positive,2024-01-01 00:11:00,43,87.6,5.44,30.4,0.0,11.86,1,0,0,0,1,0.9189773929773931,normal,0
