threshold,failure_precision,failure_recall,f1,false_negatives,false_positives,selected
0.1,0.47876447876447875,1.0,0.6475195822454308,0,270,False
0.15,0.5578231292517006,0.9919354838709677,0.714078374455733,2,195,False
0.2,0.6246786632390745,0.9798387096774194,0.7629513343799058,5,146,False
0.25,0.6907514450867052,0.9637096774193549,0.8047138047138047,9,107,False
0.3,0.7637540453074434,0.9516129032258065,0.8473967684021544,12,73,True
0.35,0.8076923076923077,0.9314516129032258,0.8651685393258427,17,55,False
0.4,0.8764478764478765,0.9153225806451613,0.8954635108481263,21,32,False
0.45,0.8991935483870968,0.8991935483870968,0.8991935483870968,25,25,False
0.5,0.925,0.8951612903225806,0.9098360655737705,26,18,False
0.55,0.9344978165938864,0.8629032258064516,0.8972746331236897,34,15,False
0.6,0.9419642857142857,0.8508064516129032,0.8940677966101694,37,13,False
0.65,0.9627906976744186,0.8346774193548387,0.8941684665226782,41,8,False
0.7,0.9705882352941176,0.7983870967741935,0.8761061946902655,50,6,False
0.75,0.9790575916230366,0.7540322580645161,0.8519362186788155,61,4,False
0.8,0.9824561403508771,0.6774193548387096,0.801909307875895,80,3,False
0.85,0.9931506849315068,0.5846774193548387,0.7360406091370558,103,1,False
0.9,1.0,0.4475806451612903,0.6183844011142061,137,0,False
